3,Y0,--,,,,
4,Y1,--,,,,
5,Y2,--,,,,
6,Y3,--,,,,
7,X4/Y10,--,,,,
8,X5/Y11,--,,,,
9,X0/Y6,--,,,,
10,X1/Y7,--,,,,
11,X6/Y12,--,,,,
12,X7/Y13,--,,,,
13,X3/Y9,--,,,,
14,X2/Y2,--,,,,
15,,--,,,,
16,Y4,--,,,,
17,,--,,,,
18,Y5,--,,,,
