3,Y15,--,X0/Y16,--,,
4,Y14,--,X1/Y17,--,,
5,Y18,--,X8/Y24,--,,
6,Y19,--,X9/Y25,--,,
7,X12/Y28,--,,--,,
8,X13/Y29,--,,--,,
9,X10/Y26,--,,--,,
10,X11/Y27,--,,--,,
11,,--,X4/Y20,--,,
12,,--,X4/Y21,--,,
13,,--,,--,,
14,,--,,--,,
15,,--,Y9,--,,
16,X6/Y22,--,Y6,--,,
17,,--,Y8,--,,
18,X7/Y23,--,Y7,--,,
