3,Y6,--,X2,--
4,Y7,--,X3,--
5,Y12,--,X8,--
6,Y13,--,X9,--
7,Y8,--,X12,--
8,Y9,--,X13,--
9,Y10,--,X14,--
10,Y11,--,X15,--
11,X0,--,X0,--
12,X1,--,X1,--
13,Y15,--,,--
14,Y14,--,,--
15,Y3,--,X5,--
16,Y4,--,X6,--
17,Y2,--,X4,--
18,Y5,--,X7,--
