3,XY2,--,XY4,--
4,XY3,Pin connected to AREF Capacitor,XY5,--
5,XY8,--,XY27,--
6,XY9,--,XY28,--
7,XY20,--,,--
8,XY21,--,,--
9,XY29,--,,--
10,XY26,--,,--
11,,--,,--
12,,--,,--
13,XY17,--,,--
14,XY16,--,,--
15,,--,,--
16,,--,,--
17,,--,,--
18,,--,,--
