3,X3/Y19,--,Y3,--,Y12,--
4,Y14,--,Y2,--,Y15,--
5,,--,X8/Y24,--,,--
6,,--,,--,,--
7,X12/Y28,--,,--,,--
8,X13/Y29,--,,--,,--
9,X9/Y25,--,,--,,--
10,Y13,--,,--,,--
11,X10/Y26,--,X4/Y20,--,X4/Y20,--
12,X11/Y27,--,X5/Y21,--,X5/Y21,--
13,,--,,--,,--
14,,--,,--,,--
15,,--,Y9,--,,--
16,X6/Y22,--,Y6,--,,--
17,,--,Y8,--,,--
18,X7/Y23,--,Y7,--,--,--
