3,Y0,--,,,,
4,Y1,--,,,,
5,Y2,--,,,,
6,Y3,--,,,,
7,X5/Y13,--,,,,
8,X4/Y2,--,,,,
9,X11/Y19,--,,,,
10,X10/Y18,--,,,,
11,,--,,,,
12,,--,,,,
13,X0/Y8,--,,,,
14,X1/Y9,--,,,,
15,Y28,--,,,,
16,Y29,--,,,,
17,Y30,--,,,,
18,Y31,--,,,,
