3,NC
4,NC
5,LED_2
6,LED_1
7,"Y1 ,CS1"
8,"Y2,CS2"
9,"Y4,CS4"
10,"Y3,CS3"
11,NC
12,NC
13,NC
14,NC
15,LED_3
16,LED_4
17,NC
18,NC
