3,Y1,X1
4,Y2,X2
5,Y3,X3
6,Y4,X4
7,NC,X5
8,NC,X6
9,Y5,X7
10,Y6,X8
11,NC,NC
12,NC,X10
13,NC,NC
14,NC,NC
15,Y7,X9
16,Y8,NC
17,Y9,NC
18,Y10,NC
